Repeat,Seed,Dataset,TargetPair,FaultType,RunLevelN,FullMAE,MedianReplacementMAE,SingleSQTR_MAE,SubsetRoutingMAE,OraclePairExclusionMAE,ExactSetDetectionRate,BothTargetDetectedRate,ExtraChannelTriggerRate,MeanDurationFraction,MeanSeverity
1,2026081501,NUAA,force_z+vibration_x,Saturation,152,0.0864858515529113,0.0416537746675011,0.0965112370396652,0.0573366400345893,0.0586484258120297,0.947368421052632,0.967105263157895,0.0197368421052632,0.401220218099682,0.401220218099682
1,2026081501,NUAA,force_z+vibration_x,Dropout,152,0.0593107622195699,0.0417868662708558,0.0595611638783594,0.0577726790020974,0.0586484258120297,0.921052631578947,0.940789473684211,0.0197368421052632,0.409099043361608,0.409099043361608
1,2026081501,NUAA,force_z+vibration_x,Bias,152,0.0660505901591719,0.0475295772119213,0.0480887490111461,0.0481195126240725,0.0586484258120297,0.0394736842105263,0.0394736842105263,0.0197368421052632,0.613271907637691,1.79647846420826
1,2026081501,NUAA,force_z+vibration_x,Noise,152,0.0928074114425134,0.0456138658398877,0.0465864715114598,0.0465772550912136,0.0586484258120297,0,0,0.0197368421052632,0.602614996012159,1.11530260068113
1,2026081501,NUAA,force_z+vibration_y,Saturation,152,0.11083235747006,0.0418958292103936,0.0938942325945904,0.0419891890646042,0.040833826260722,0.960526315789474,0.967105263157895,0.00657894736842105,0.387313123131672,0.387313123131672
1,2026081501,NUAA,force_z+vibration_y,Dropout,152,0.0521917484333905,0.0403171126451826,0.0480803053466249,0.0405596474404216,0.040833826260722,0.947368421052632,0.953947368421053,0.00657894736842105,0.399439054304396,0.399439054304396
1,2026081501,NUAA,force_z+vibration_y,Bias,152,0.0662697320053424,0.0441294763619923,0.0501307324108943,0.0448048138873678,0.040833826260722,0.342105263157895,0.342105263157895,0.00657894736842105,0.601023776648781,1.76511535092695
1,2026081501,NUAA,force_z+vibration_y,Noise,152,0.0883869461305158,0.0420473364933469,0.0432287735144168,0.0418522904907629,0.040833826260722,0.0328947368421053,0.0328947368421053,0.00657894736842105,0.587423098805991,1.13416821338047
1,2026081501,NUAA,vibration_x+vibration_y,Saturation,152,0.0526353560909168,0.0381550550447359,0.0374155031357864,0.0378296641271633,0.0379406954754658,0.986842105263158,1,0.0131578947368421,0.402625867587003,0.402625867587003
1,2026081501,NUAA,vibration_x+vibration_y,Dropout,152,0.042214374036178,0.0381550550447359,0.0395227870893,0.0378296641271633,0.0379406954754658,0.986842105263158,1,0.0131578947368421,0.391494350979547,0.391494350979547
1,2026081501,NUAA,vibration_x+vibration_y,Bias,152,0.0464230403440322,0.0391350510318229,0.0389313026109585,0.0389299990534432,0.0379406954754658,0.0328947368421053,0.0328947368421053,0.0131578947368421,0.584842966168132,1.73686933758897
1,2026081501,NUAA,vibration_x+vibration_y,Noise,152,0.0412965068149567,0.0407799683798839,0.0408908023088129,0.0408908023088129,0.0379406954754658,0,0,0.0131578947368421,0.613292706136261,1.16401200906073
1,2026081501,PHM2010,force_z+vibration_x,Saturation,945,0.0257390414780627,0.0136915375033421,0.0152485206139661,0.0114857559756938,0.0114861988707107,0.991534391534391,1,0.00846560846560847,0.397067933572569,0.397067933572569
1,2026081501,PHM2010,force_z+vibration_x,Dropout,945,0.021765589428431,0.0143180492272776,0.0111894079665093,0.0118875334954592,0.0114861988707107,0.827513227513228,0.835978835978836,0.00846560846560847,0.39489223709305,0.39489223709305
1,2026081501,PHM2010,force_z+vibration_x,Bias,945,0.0177452985794367,0.0157242735328536,0.015589166889289,0.0155043136210351,0.0114861988707107,0.112169312169312,0.113227513227513,0.00846560846560847,0.601114939149354,1.76419909708503
