Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianMAE,CleanSingleSQTR_MAE,CleanSubsetRoutingMAE,CleanAnyTriggerRate,FullRelativeMAE,MedianRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,SubsetImprovementPercent,SingleImprovementPercent
1,2026081501,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.01855793107983,0.01855793107983,0.0689655172413793,3.39992854219172,1.09894273466533,2.18212519698149,1.0426247508396,0.897245235256814,69.333921642733,35.8184982448246
1,2026081501,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0139356538370896,0.0139356538370896,0.117647058823529,3.38911999554163,1.27386776419873,2.18585927227873,1.32433828507685,1.30145579841828,60.9238301736436,35.5036329444157
1,2026081501,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0295033416448534,0.0295033416448534,0,1.35093965871914,0.98405099808476,1.22350506698046,0.940481229264436,0.884640170041743,30.3831800928746,9.43303358637817
1,2026081501,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.47013135887711,0.948868337156398,1.15493789529452,0.958161268471949,0.940176092670744,34.824785371302,21.4398163592218
1,2026081501,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0308928557556908,0.0308928557556908,0.142857142857143,2.52245802703064,1.2749602182443,2.13566427835009,1.58316531643631,1.61660246794397,37.2371988167444,15.3340013802282
1,2026081501,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0360025923619169,0.0360025923619169,0,1.40704777975477,1.06440370077948,1.31252679824476,1.03753736125917,0.984256071863097,26.2613980713573,6.71768101055364
1,2026081501,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0769839701819179,0.0769839701819179,0,1.13665291477328,1.01004294328152,1.06853184512655,0.996510988460863,0.987694639914898,12.3293508942767,5.99312848815593
1,2026081501,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0589604040915583,0.0589604040915583,0,1.52825099442238,1.07887640810485,1.25381120803038,1.29770613111687,1.48740138951196,15.0855366132213,17.9577692011075
1,2026081501,NUAA,W9,7,0.052176046086479,0.052176046086479,0.052176046086479,0.052176046086479,0,0.935692184666019,1.17026538731439,1.10095671354838,1.19910132532412,1.20304456592544,-28.151260101859,-17.6622752215618
1,2026081501,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.00819049407155347,0.00816423872305722,0.053968253968254,1.34041763787599,1.02723482619545,1.16200739685618,1.22294093859029,1.26832012139733,8.76418632269366,13.310048747383
1,2026081501,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.05884921028544,1.23298941042071,1.03943250970116,1.08161203301114,1.08627253308084,-2.14977000545412,1.83375502344172
1,2026081501,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.79511960245638,1.16565628025547,1.19181103611457,1.0701376146869,0.747324708690607,40.3862777041397,33.6082657398571
